timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-07-07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,293164,megawatthours
2025-07-07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,291741,megawatthours
2025-07-07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,290899,megawatthours
2025-07-07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,292493,megawatthours
2025-07-07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,293164,megawatthours
2025-07-07,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,337993,megawatthours
2025-07-07,SCE,Southern California Edison,CISO,California Independent System Operator,Central,336530,megawatthours
2025-07-07,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,335616,megawatthours
2025-07-07,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,337373,megawatthours
2025-07-07,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,337993,megawatthours
2025-07-07,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52690,megawatthours
2025-07-07,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52538,megawatthours
2025-07-07,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52459,megawatthours
2025-07-07,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52622,megawatthours
2025-07-07,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52690,megawatthours
2025-07-07,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,2211,megawatthours
2025-07-07,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,2199,megawatthours
2025-07-07,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,2192,megawatthours
2025-07-07,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,2206,megawatthours
2025-07-07,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,2211,megawatthours
2025-07-07,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Central,291731,megawatthours
2025-07-07,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,291331,megawatthours
2025-07-07,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Central,141667,megawatthours
2025-07-07,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,141406,megawatthours
2025-07-07,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Central,280214,megawatthours
2025-07-07,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,280725,megawatthours
2025-07-07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Central,497937,megawatthours
2025-07-07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,499196,megawatthours
2025-07-07,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Central,306219,megawatthours
2025-07-07,0035,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,305480,megawatthours
2025-07-07,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Central,577820,megawatthours
2025-07-07,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",Eastern,577735,megawatthours
2025-07-07,ZONA,West,NYIS,New York Independent System Operator,Eastern,54380,megawatthours
2025-07-07,ZONB,Genesee,NYIS,New York Independent System Operator,Eastern,35590,megawatthours
2025-07-07,ZONC,Central,NYIS,New York Independent System Operator,Eastern,50326,megawatthours
2025-07-07,ZOND,North,NYIS,New York Independent System Operator,Eastern,13909,megawatthours
2025-07-07,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,Eastern,24499,megawatthours
2025-07-07,ZONF,Capital,NYIS,New York Independent System Operator,Eastern,41579,megawatthours
2025-07-07,ZONG,Hudson Valley,NYIS,New York Independent System Operator,Eastern,35882,megawatthours
2025-07-07,ZONH,Millwood,NYIS,New York Independent System Operator,Eastern,9566,megawatthours
2025-07-07,ZONI,Dunwoodie,NYIS,New York Independent System Operator,Eastern,23131,megawatthours
2025-07-07,ZONJ,New York City,NYIS,New York Independent System Operator,Eastern,194399,megawatthours
2025-07-07,ZONK,Long Island,NYIS,New York Independent System Operator,Eastern,82492,megawatthours
2025-07-07,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Arizona,51,megawatthours
2025-07-07,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Central,51,megawatthours
2025-07-07,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Eastern,50,megawatthours
2025-07-07,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Mountain,51,megawatthours
2025-07-07,ACMA,City of Acoma Pueblo,PNM,Public Service Company of New Mexico,Pacific,51,megawatthours
2025-07-07,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Arizona,632,megawatthours
2025-07-07,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Central,630,megawatthours
2025-07-07,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Eastern,628,megawatthours
2025-07-07,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Mountain,632,megawatthours
2025-07-07,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,Pacific,632,megawatthours
2025-07-07,Frep,Freeport,PNM,Public Service Company of New Mexico,Arizona,994,megawatthours
2025-07-07,Frep,Freeport,PNM,Public Service Company of New Mexico,Central,995,megawatthours
2025-07-07,Frep,Freeport,PNM,Public Service Company of New Mexico,Eastern,996,megawatthours
2025-07-07,Frep,Freeport,PNM,Public Service Company of New Mexico,Mountain,996,megawatthours
2025-07-07,Frep,Freeport,PNM,Public Service Company of New Mexico,Pacific,994,megawatthours
2025-07-07,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Arizona,57,megawatthours
2025-07-07,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Central,57,megawatthours
2025-07-07,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Eastern,57,megawatthours
2025-07-07,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Mountain,57,megawatthours
2025-07-07,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Pacific,57,megawatthours
2025-07-07,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Arizona,1419,megawatthours
2025-07-07,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Central,1415,megawatthours
2025-07-07,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Eastern,1412,megawatthours
2025-07-07,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Mountain,1417,megawatthours
2025-07-07,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Pacific,1419,megawatthours
2025-07-07,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Arizona,453,megawatthours
2025-07-07,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Central,453,megawatthours
2025-07-07,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Eastern,453,megawatthours
2025-07-07,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Mountain,453,megawatthours
2025-07-07,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Pacific,453,megawatthours
2025-07-07,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Arizona,1533,megawatthours
2025-07-07,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Central,1520,megawatthours
2025-07-07,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Eastern,1516,megawatthours
2025-07-07,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Mountain,1525,megawatthours
2025-07-07,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Pacific,1533,megawatthours
2025-07-07,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Arizona,34241,megawatthours
2025-07-07,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Central,33994,megawatthours
2025-07-07,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Eastern,33862,megawatthours
2025-07-07,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Mountain,34126,megawatthours
2025-07-07,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Pacific,34241,megawatthours
2025-07-07,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Arizona,6456,megawatthours
2025-07-07,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Central,6453,megawatthours
2025-07-07,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Eastern,6466,megawatthours
2025-07-07,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Mountain,6453,megawatthours
2025-07-07,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Pacific,6456,megawatthours
2025-07-07,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,Central,163491,megawatthours
2025-07-07,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,Eastern,163548,megawatthours
2025-07-07,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,Central,18313,megawatthours
2025-07-07,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,Eastern,18211,megawatthours
2025-07-07,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,Central,25837,megawatthours
2025-07-07,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,Eastern,25817,megawatthours
2025-07-07,INDN,Independence Power & Light,SWPP,Southwest Power Pool,Central,4089,megawatthours
2025-07-07,INDN,Independence Power & Light,SWPP,Southwest Power Pool,Eastern,4075,megawatthours
2025-07-07,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,Central,8106,megawatthours
2025-07-07,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,Eastern,8075,megawatthours
2025-07-07,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,Central,62656,megawatthours
2025-07-07,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,Eastern,62492,megawatthours
2025-07-07,LES,Lincoln Electric System,SWPP,Southwest Power Pool,Central,12629,megawatthours
2025-07-07,LES,Lincoln Electric System,SWPP,Southwest Power Pool,Eastern,12612,megawatthours
2025-07-07,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,Central,33860,megawatthours
2025-07-07,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,Eastern,33750,megawatthours
2025-07-07,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,Central,59896,megawatthours
2025-07-07,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,Eastern,59725,megawatthours
2025-07-07,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,Central,128180,megawatthours
2025-07-07,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,Eastern,128092,megawatthours
2025-07-07,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,Central,54643,megawatthours
2025-07-07,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,Eastern,54677,megawatthours
2025-07-07,SECI,Sunflower Electric,SWPP,Southwest Power Pool,Central,20992,megawatthours
2025-07-07,SECI,Sunflower Electric,SWPP,Southwest Power Pool,Eastern,20965,megawatthours
2025-07-07,SPRM,City of Springfield,SWPP,Southwest Power Pool,Central,11157,megawatthours
2025-07-07,SPRM,City of Springfield,SWPP,Southwest Power Pool,Eastern,11098,megawatthours
2025-07-07,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,Central,113299,megawatthours
2025-07-07,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,Eastern,113279,megawatthours
2025-07-07,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,Central,97212,megawatthours
2025-07-07,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,Eastern,97182,megawatthours
2025-07-07,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,Central,31368,megawatthours
2025-07-07,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,Eastern,31294,megawatthours
