timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-06-30,Frep,Freeport,PNM,Public Service Company of New Mexico,Eastern,1055,megawatthours
2025-06-30,Frep,Freeport,PNM,Public Service Company of New Mexico,Mountain,1052,megawatthours
2025-06-30,Frep,Freeport,PNM,Public Service Company of New Mexico,Pacific,1049,megawatthours
2025-06-30,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Arizona,55,megawatthours
2025-06-30,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Central,55,megawatthours
2025-06-30,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Eastern,55,megawatthours
2025-06-30,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Mountain,55,megawatthours
2025-06-30,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,Pacific,55,megawatthours
2025-06-30,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Arizona,1375,megawatthours
2025-06-30,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Central,1380,megawatthours
2025-06-30,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Eastern,1384,megawatthours
2025-06-30,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Mountain,1377,megawatthours
2025-06-30,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,Pacific,1375,megawatthours
2025-06-30,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Arizona,482,megawatthours
2025-06-30,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Central,485,megawatthours
2025-06-30,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Eastern,486,megawatthours
2025-06-30,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Mountain,483,megawatthours
2025-06-30,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,Pacific,482,megawatthours
2025-06-30,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Arizona,1445,megawatthours
2025-06-30,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Central,1447,megawatthours
2025-06-30,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Eastern,1449,megawatthours
2025-06-30,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Mountain,1447,megawatthours
2025-06-30,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,Pacific,1445,megawatthours
2025-06-30,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Arizona,32484,megawatthours
2025-06-30,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Central,32993,megawatthours
2025-06-30,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Eastern,33288,megawatthours
2025-06-30,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Mountain,32725,megawatthours
2025-06-30,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,Pacific,32484,megawatthours
2025-06-30,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Arizona,6161,megawatthours
2025-06-30,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Central,6167,megawatthours
2025-06-30,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Eastern,6195,megawatthours
2025-06-30,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Mountain,6159,megawatthours
2025-06-30,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,Pacific,6161,megawatthours
2025-06-30,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,Central,161738,megawatthours
2025-06-30,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,Eastern,161720,megawatthours
2025-06-30,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,Central,17219,megawatthours
2025-06-30,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,Eastern,17127,megawatthours
2025-06-30,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,Central,24735,megawatthours
2025-06-30,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,Eastern,24730,megawatthours
2025-06-30,INDN,Independence Power & Light,SWPP,Southwest Power Pool,Central,3094,megawatthours
2025-06-30,INDN,Independence Power & Light,SWPP,Southwest Power Pool,Eastern,3095,megawatthours
2025-06-30,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,Central,6940,megawatthours
2025-06-30,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,Eastern,6937,megawatthours
2025-06-30,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,Central,50612,megawatthours
2025-06-30,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,Eastern,50664,megawatthours
2025-06-30,LES,Lincoln Electric System,SWPP,Southwest Power Pool,Central,11396,megawatthours
2025-06-30,LES,Lincoln Electric System,SWPP,Southwest Power Pool,Eastern,11432,megawatthours
2025-06-30,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,Central,27057,megawatthours
2025-06-30,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,Eastern,27033,megawatthours
2025-06-30,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,Central,55353,megawatthours
2025-06-30,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,Eastern,55286,megawatthours
2025-06-30,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,Central,124418,megawatthours
2025-06-30,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,Eastern,125080,megawatthours
2025-06-30,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,Central,51334,megawatthours
2025-06-30,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,Eastern,51407,megawatthours
2025-06-30,SECI,Sunflower Electric,SWPP,Southwest Power Pool,Central,20898,megawatthours
2025-06-30,SECI,Sunflower Electric,SWPP,Southwest Power Pool,Eastern,20944,megawatthours
2025-06-30,SPRM,City of Springfield,SWPP,Southwest Power Pool,Central,9793,megawatthours
2025-06-30,SPRM,City of Springfield,SWPP,Southwest Power Pool,Eastern,9687,megawatthours
2025-06-30,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,Central,106481,megawatthours
2025-06-30,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,Eastern,106506,megawatthours
2025-06-30,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,Central,93741,megawatthours
2025-06-30,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,Eastern,93726,megawatthours
2025-06-30,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,Central,30058,megawatthours
2025-06-30,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,Eastern,30199,megawatthours
2025-06-30,WR,Westar Energy,SWPP,Southwest Power Pool,Central,100585,megawatthours
2025-06-30,WR,Westar Energy,SWPP,Southwest Power Pool,Eastern,100770,megawatthours
2025-06-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,284474,megawatthours
2025-06-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,285415,megawatthours
2025-06-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,285998,megawatthours
2025-06-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,284952,megawatthours
2025-06-29,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,284474,megawatthours
2025-06-29,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,320486,megawatthours
2025-06-29,SCE,Southern California Edison,CISO,California Independent System Operator,Central,320295,megawatthours
2025-06-29,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,320301,megawatthours
2025-06-29,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,320354,megawatthours
2025-06-29,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,320486,megawatthours
2025-06-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,49922,megawatthours
2025-06-29,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,49889,megawatthours
